LURN_SAK,INCIDENT_DATE,INCIDENT_REPORTED_DATE,CATEGORY,STAT,STAT_DESC,ADDRESS,STREET,CITY,ZIP,INCIDENT_ID,REPORTING_DISTRICT,SEQ,GANG_RELATED,UNIT_ID,UNIT_NAME,DELETED
18667288,8/14/18 12:14,8/14/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"2400 FLOWER ST, HUNTINGTON PARK, CA  90255",2400 FLOWER ST,HUNTINGTON PARK,90255,918-11748-2178,2178,11748,NO,CA01900V3,CENTURY,N
18727921,10/16/18 8:58,10/16/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"COLIMA RD AND FAIRWAY DR, ROWLAND HEIGHTS, CA",COLIMA RD AND FAIRWAY DR,ROWLAND HEIGHTS,,918-06914-2938,2938,6914,NO,CA0190020,WALNUT,N
18712940,10/1/18 1:15,10/1/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"9400 WHITTIER BLVD, PICO RIVERA, CA  90660",9400 WHITTIER BLVD,PICO RIVERA,90660,918-06755-1512,1512,6755,NO,CA0190015,PICO RIVERA,N
18609301,6/13/18 13:31,6/13/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"FLORENCE AVE AND GRAHAM AVE, LOS ANGELES, CA",FLORENCE AVE AND GRAHAM AVE,LOS ANGELES,,918-08668-2173,2173,8668,NO,CA01900V3,CENTURY,N
18543698,4/10/18 13:40,4/10/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"18100 GALE AVE, CITY OF INDUSTRY, CA",18100 GALE AVE,CITY OF INDUSTRY,,918-04813-1418,1418,4813,NO,CA0190014,INDUSTRY,N
18557771,4/23/18 12:41,4/23/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"ROSEMEAD BLVD AND GALLATIN RD, EL MONTE, CA  91733",ROSEMEAD BLVD AND GALLATIN RD,EL MONTE,91733,918-04961-0576,576,4961,NO,CA0190005,TEMPLE,N
18715231,10/3/18 7:20,10/3/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,", VAN NUYS, CA",,VAN NUYS,,918-00230-6151,6151,230,NO,CA01900V6,METROLINK BUREAU,N
18726692,10/15/18 2:53,10/15/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"13800 PIONEER BLVD, NORWALK, CA",13800 PIONEER BLVD,NORWALK,,918-15352-0453,453,15352,NO,CA0190004,NORWALK,N
18746755,11/5/18 4:00,11/5/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"11800 FIRESTONE BLVD, NORWALK, CA  90650",11800 FIRESTONE BLVD,NORWALK,90650,918-16503-0454,454,16503,NO,CA0190004,NORWALK,N
18758938,11/18/18 12:25,11/18/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"18400 S AVALON BLVD, CARSON, CA",18400 S AVALON BLVD,CARSON,,918-12186-1612,1612,12186,NO,CA0190016,CARSON,N
18642310,7/18/18 13:56,7/18/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"FLORENCE AVE AND GRAHAM AVE, LOS ANGELES, CA",FLORENCE AVE AND GRAHAM AVE,LOS ANGELES,,918-10438-2172,2172,10438,NO,CA01900V3,CENTURY,N
18717919,10/5/18 16:26,10/5/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"800 E AVENUE J, LANCASTER, CA",800 E AVENUE J,LANCASTER,,918-20503-1132,1132,20503,NO,CA0190024,LANCASTER,N
18457761,1/16/18 7:30,1/16/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"E LANKERSHIM BLVD AND HARTLAND ST, NORTH HOLLYWOOD, CA",E LANKERSHIM BLVD AND HARTLAND ST,NORTH HOLLYWOOD,,918-00010-6155,6155,10,NO,CA01900V6,METROLINK BUREAU,N
18709061,9/26/18 17:20,9/26/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"1500 W AVENUE K, LANCASTER, CA",1500 W AVENUE K,LANCASTER,,918-19789-1126,1126,19789,NO,CA0190024,LANCASTER,N
18715145,10/3/18 3:20,10/3/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"5000 PASSONS BLVD, PICO RIVERA, CA",5000 PASSONS BLVD,PICO RIVERA,,918-06820-1514,1514,6820,NO,CA0190015,PICO RIVERA,N
18480165,2/6/18 18:35,2/6/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"12900 HOXIE AVE, NORWALK, CA  90650",12900 HOXIE AVE,NORWALK,90650,918-00120-6068,6068,120,NO,CA0190031,TRANSIT SERV BUR,N
